,1,2,
1278,i mean i'm all for bye firstname lol,44,
1476,bye firstname,44,
2038,say bye bye firstname,44,
2103,buh bye firstname,44,
2144,bye firstname :(,44,
95,you are right my mistake,45,
353,ty,45,
465,no problem,45,
468,nah it's fine.,45,
536,sorry :d,45,
736,"not pc, sorry",45,
799,all respoded,45,
1425,my bad,45,
1436,then i'm sorry,45,
1473,:-( sorry.,45,
1605,sorry,45,
1648,all good,45,
1657,sorry,45,
1678,"sorry, :)",45,
1979,sorry kat,45,
2018,sorry!,45,
2040,it's ok,45,
2120,"i got that one wrong, so sorry",45,
130,i think it's random,46,
292,since theres only two roles we sort of have to random lastname,46,
592,it's so random,46,
609,are we really just going random names or do we have a real reason,46,
827,so i vote we all pick random names,46,
829,which is why i say we all randomly pick,46,
876,"sorry, i just picked a random name :(",46,
1068,its random if there arent enough votes,46,
1345,i really dislike this randomly generated name.,46,
1394,wish they would have made this like the actual game. all we can do is just randomly pick people lol,46,
64,"i think so. because mafia know who the other mafia are, and probably wouldn't kill their own",47,
122,i wonder if the mob is purposefully not getting rid of people at night and instead trying to do it during the day? how many can be in the mafia? ,47,
317,i knew because i played mafia on epicmafia where that kind of slip happens all the time,47,
484,only mafia can talk at night,47,
577,i did the first round purely because it sounded mafia like but i'm observing who hasn't voted proven mafia now,47,
705,is there any way to tell if he was mafia?,47,
731,hope he is mafia,47,
767,i thought mafia had to outnumber bystanders to win,47,
788,that sounds like something mafia would say,47,
929,well it seems the mafia missed their first chance mwuhaha,47,
979,what mafia meeting?,47,
991,probably know hes not mafia,47,
1085,dance fighting is how all mafia disputes are settled,47,
1110,maybe quiet is a bystander trying to stay away from the mafia,47,
1659,maybe the people who are all voting the same the first day are mafia?,47,
1665,only mafia can talk and vote at night,47,
1668,mafia can't send messages at night.,47,
1751,amnda is mafia,47,
1808,"the mafia has raptors, i'm sure.",47,
1939,that's what somebody in the mafia would say!,47,
2081,that's what someone in the mafia would say,47,
2098,were building the wall in the mafia game,47,
2158,thats such a mafia thing to say!!,47,
2175,not close enough to know he wasn't mafia.,47,
78,"hi!, who do you want to elimate?",48,
154,who's the mouthiest???,48,
169,who's next?,48,
291,who's next? does anyone have any leads?,48,
336,lol we'll get you next,48,
374,who do you think?,48,
502,so who should be next,48,
527,i was thinking 2nd. ,48,
538,"alright, who will it be",48,
606,"yo, who do you think?",48,
769,who's next?,48,
810,who's next?,48,
842,i did not thinking i could be next!!!,48,
930,who's the next?,48,
1033,'jr.',48,
1046,looks like we're down to 3?,48,
1103,so who is next?,48,
1369,who's next...,48,
1552,"alright, who's next?",48,
1553,who do you think now?,48,
100,i missed you guys,49,
121,"guys, no",49,
359,hey guys,49,
534,"yeah, we do. ",49,
1053,its up to you guys i guess haha,49,
1568,we're all dumb here,49,
1608,hey guys.,49,
1744,hey just for lol guys,49,
1749,no guys,49,
1955,hey guys!,49,
131,whoa! i'm confused,50,
175,a bidnessman!,50,
217,oh no!,50,
252,noooooooo!,50,
335,let's knock one out,50,
351,i'm hit!,50,
391,damn!,50,
696,only a small amount of time left!,50,
787,seriously!,50,
892,not this time lol,50,
933,awesome!,50,
962,i knew it!,50,
1108,get him!,50,
1183,"my detractors, however, clearly want me gone for the very reason that i have them pinned!",50,
1429,we got one of our own :(  ,50,
1471,thats an offer you cannot refuse!,50,
1497,lol i hope your doctor doesn't do the same,50,
1606,ouch!,50,
1639,"oh no, i guess my time has come!",50,
1787,kick me out for that moneyy,50,
1845,oi! ,50,
2078,"lol, the pressure!",50,
2169,"oops, deb's was taken in the night! :d",50,
2191,get him!,50,
2197,you wouldn't hurt this face!,50,
25,firstname lastname said only hello,51,
55,i think firstname talks a lot and tries to confuse us. ,51,
59,"i don't like firstname lastname, she seems to try to ply herself off.",51,
72,firstname was a bit too quick to throw firstname under the bus on day one though.,51,
119,why is everyone choosing firstname?,51,
144,maybe its you firstname,51,
197,it seems like firstname lastname is trying to intimidate us!,51,
199,firstname is still trying to intimidate us!,51,
236,poor firstname lol,51,
249,looks like firstname isn't doing so hot,51,
299,why did firstname lastname random voe firstname,51,
337,ha ha firstname should have said that earlier,51,
370,"hmm ok analyzing this conversation....i think firstname was a lastname to flippant in how she was like ""sucks to be firstname"" haha",51,
377,mr. firstname is only mr. lol,51,
414,sucks to be firstname,51,
452,firstname hasn't really said anything until now which is suspicious,51,
576,what did firstname do,51,
578,you know firstname hasn't said anything yet,51,
600,why firstname?,51,
615,firstname firstname is too smart for her own good.,51,
637,"wow, looks like firstname isn't having any luck",51,
658,i only suggested firstname because he suggested me. live and let live otherwise,51,
670,"don't go after firstname, he's just an innocent um",51,
711,what kindof person is named firstname anyway,51,
742,firstname aint talking,51,
768,i don't think firstname has talked either,51,
780,well going after firstname was a mistake.  ,51,
800,i don't see firstname lastname responding,51,
839,why firstname?,51,
926,"firstname, firstname, firstname, firstname are still quiet",51,
942,firstname lastname is a problem.,51,
952,i think firstname is throwing around a lot of accusations.,51,
993,no one seems to like firstname! lol,51,
1006,firstname sounds suspicious,51,
1083,that was not very nice of firstname,51,
1094,something suspicious about firstname lastname,51,
1095,"i think it's firstname, too quiet",51,
1119,it can't be firstname,51,
1120,it doesn't make sense to be firstname.,51,
1152,even firstname agrees that firstname cannot be trusted.,51,
1164,firstname was quick to point his finger at firstname.,51,
1169,firstname can't be trusted,51,
1213,firstname is quiet...,51,
1246,firstname got the wrong guy,51,
1291,she only asked if firstname was,51,
1328,only firstname does,51,
1329,but firstname is not speaking,51,
1416,firstname didn't answer,51,
1479,i think you all should worry about firstname. why would she single me out?,51,
1512,"firstname said ""firstname lastname after firstname"" and then she disappeared. it's obvious",51,
1522,firstname has bad attitude,51,
1527,firstname has bad attitude ,51,
1560,why firstname why!?,51,
1636,why all the hate for firstname?,51,
1641,poor firstname :(,51,
1677,hmm well firstname kept the same person,51,
1761,firstname lastname is too suspicious,51,
1770,meant to click firstname and can't change it,51,
1780,i bet firstname did it. just look at that evil laugh. just sayin.,51,
1799,"firstname is really quiet, whats up with that? you think the killer is gonna talk? no way, they are gonna be silent and invisible.",51,
1824,never mess with firstname on her period.,51,
1825,"just look at the denial from firstname. i'm telling you, prime suspect, just saying.",51,
1837,"you're right, firstname isn't talking.",51,
1849,"well, firstname probably asked for it anyways.",51,
1889,i don't trust firstname,51,
1913,firstname talkin too much,51,
1932,ok so they think it's firstname,51,
1944,since firstname seems very quiet,51,
2059,firstname is too quiet,51,
2125,poor firstname,51,
2155,he did have it out for firstname though,51,
2163,poor firstname.,51,
2199,seemed like firstname and him were close,51,
153,wrong game,52,
157,hey i'm just playin' wit' you'se.,52,
223,wow what a game,52,
276,its all part of the game :),52,
448,i read the rules as well,52,
459,not sure i'm even playihg with real people???,52,
518,hahaha just playin my dawg! this game mad fun man,52,
646,this game is harder when you can't interact in person and read people's body language,52,
904,"it was real, it was fun, it was really fun",52,
974,"i dont play blend in games, if you wanna vote me out, go ahead",52,
1177,mind gamessss,52,
1248,"yes, i clearly suck at this game.  no argument from me!  ",52,
1302,"its ok, i am kinda over this lol",52,
1463,that's what we play for,52,
1469,"guys not playin, so lets knock him out",52,
1543,i've been playing it my whole life.  ,52,
1679,🤔 i still don't know i'm just going along with the crow d,52,
1782,kill me cause i'm sick of this stupid game,52,
1789,and this a game,52,
1880,agree how are we supposed to play this game over a chat box haha,52,
1901,great game in person,52,
1915,kind of a fun game haha,52,
2041,just a game peeps,52,
2056,"that would be a short game, lol",52,
20,who shall we knock off first? firstname?,53,
28,"that's only in the nighttime, firstname.",53,
57,"firstname, it's about time you die",53,
73,and now firstname.,53,
75,"firstname lastname, one woman army.",53,
155,you'se better not be think'in of pushin' a button on firstname lefty lastname!,53,
170,he;s already dead..how about firstname,53,
202,firstname next...,53,
264,"lol! awe, firstname",53,
275,hopefully firstname doesn't kill me.,53,
318,100% firstname,53,
347,let's let firstname go home,53,
349,as you wish firstname!,53,
419,"firstname, your time has come",53,
499,so that mean firstname needs to go,53,
514,we outchea firstname,53,
651,are we doing firstname?,53,
672,i still think firstname myself ,53,
674,"firstname said to kill firstname last round, haha",53,
699,let's get firstname,53,
746,"ok firstname, who's next?",53,
760,i think we can get people to turn on firstname because she stuck up for sam,53,
837,hello firstname.  who should we knock off?,53,
879,hmmm it seems like they might go firstname next round,53,
906,firstname chose firstname first so has to be matt,53,
997,firstname will whack us.,53,
1002,let's take out firstname.,53,
1062,they pushed firstname in the beginni,53,
1102,firstname tried to break my legs,53,
1113,firstname's turn....,53,
1217,"hey everyone! firstname here, ready to follow the crowd!",53,
1235,lets take out firstname,53,
1272,we can do firstname and try to throw them off the tail?,53,
1283,lets take out firstname writght,53,
1287,firstname lives!,53,
1295,i think ben and firstname are gonna win,53,
1349,firstname seemed quick to the draw.,53,
1423,next during the day let's pick firstname,53,
1457,lets get firstname!,53,
1480,firstname has got to go!,53,
1507,firstname is dead weight,53,
1521,firstname must go now,53,
1523, firstname is dead weight,53,
1528,100 % firstname,53,
1529,firstname needs to go 100%,53,
1530,firstname needs to go next,53,
1534,firstname 100% must go,53,
1535,c-ya firstname,53,
1577,firstname made the best lampredotto.,53,
1582,i say firstname for getting 99 red baloons stuck in my head,53,
1583,"firstname: lol, now that's stuck in my head. ;)",53,
1684,"firstname, care to weigh in?",53,
1700,let's get firstname ,53,
1759,firstname is a made man,53,
1781,pitch fork time! get firstname!,53,
1828,"and wtg, firstname.",53,
1838,think firstname's getting 86d,53,
1912,get firstname outta here,53,
1947,i think firstname will believe us,53,
1968,lolol i know...i think dr. firstname should be next to go,53,
1973,"that's not nice, dr. firstname! ",53,
1997,firstname firstname md ,53,
2028,lets off firstname!,53,
2042,later firstname!,53,
2086,firstname... and i think we win?,53,
2119,we can get firstname next round,53,
2182,firstname had it coming we all know it,53,
2204,so is firstname next,53,
67,and i would've gotten away with it if it wasn't for you meddling kids :d,54,
875,nope ;),54,
983,now ;),54,
1193,awww but it's not :(,54,
1211,you obs. :),54,
1269,well nice knowing you!,54,
1284,knows too much!,54,
1681,that's just mean man! ;),54,
1683,no sweat ;),54,
41,wow isn't that convenient,55,
127,"ok, wow",55,
185,thank you,55,
334,great,55,
399,wow,55,
437,love this,55,
462,"ya, this is boring",55,
479,nice,55,
574,well great lol,55,
583,"welcome, it's quite lonely",55,
917,so long ,55,
1236,so uh good job on the first hanging,55,
1433,so long,55,
1542,how does this work ,55,
1697,thank you,55,
1748,great,55,
1847,wow.,55,
2001,how,55,
2194,this is gold,55,
2196,bless,55,
191,gg mafia,56,
225,if you are in the mafia please say so,56,
269,any mafia in here?,56,
482,"okay, who here is mafia?",56,
491,the mafia is center of person,56,
554,yep... are we the only mafia?,56,
636,who do you think is a mafia member?,56,
673,how is mafia,56,
712,nope only the mafia,56,
728,are you mafia?,56,
762,well there's at least one mafia left,56,
790,i'm not mafia guys :(,56,
1048,does that mean there's one mafia left? are we all bystanders? how does this work haha,56,
1109,:/ i'm not mafia... ,56,
1122,mafia is gonna win cause you are idiots.,56,
1124,lets go mafia!,56,
1153,i am not mafia. ,56,
1231,how do we get rid of the mafia??,56,
1268,"i guarantee you i'm not mafia, but do what you gotta do.",56,
1333,i'm not smart enough to be mafia.,56,
1447,i'm a bystander too... not mafia.. not a bot.,56,
1449,who is the mafia?,56,
1453,don't do it.. i'm really not a mafia.,56,
1494,no idea who mafia might be...,56,
1550,there seems to be some mafia members among us!,56,
1643,who is in the mafia? hmm...,56,
1674,who is mafia? ,56,
1721,"hi, bystanders!  seems to me if we're smart, and we have more than the mafia, we can win this if we're smart",56,
1733,i'm mafia,56,
1772,so who do we think is in the mafia? ,56,
1804,"so, let's just confess. if you're the mafia, say so!",56,
1883,if you are mafia just respond to this ,56,
1894,welp they weren't mafia.... so there are only a few choices left,56,
1929,who do you think the mafia is,56,
2054,im too nice to be mafia,56,
2062,im mafia,56,
2071,i mean i'm just processing everyone admitting to being mafia even though they can't all be lol,56,
2072,sigh i should of just said i'm mafia like everyone else ,56,
2079,i am the mafia,56,
2090,i know who is mafia,56,
2096,nobody thinks im mafia...,56,
2149,dirty mafia,56,
2168,are we in agreement that deb is mafia?,56,
2203,joke is on you mafia!,56,
6,"i don't really understand how we're supposed to know who to vote for, i just chose firstname lastname at random..",57,
110,i already voted for firstname,57,
111,quick with the lastname vote already...,57,
166,"hi, i vote for firstname",57,
237,"hi, this is firstname, don't vote for me!",57,
239,shall we vote out firstname lastname,57,
240,who to vote out? firstname lastname?,57,
241,vote out firstname,57,
270,"hmm, i think we should actually vote out firstname. he seems too eager to kick people out.",57,
272,"i'm going to vote for firstname lastname, because he seems to like kicking people out.",57,
286,voting for firstname then,57,
297,how about firstname since he voted for firstname,57,
312,i'm going to vote for firstname,57,
325,voting firstname,57,
329,firstname was quick to vote,57,
339,vote out firstname,57,
342,vote for firstname lastname,57,
344,vote firstname in the daytime,57,
346,vote for firstname lastname,57,
348,i vote firstname,57,
372,i'm going to vote firstname. she's so casual with life and death,57,
656,i vote firstname,57,
708,vote for firstname,57,
709,vote out firstname,57,
854,firstname already voted this round for firstname....,57,
881,firstname seemed vocal - should we pick him and then vote firstname when it is everyone,57,
910,want to vote firstname?,57,
940,im voting firstname lastname,57,
947,i'm voting for you then firstname,57,
971,"i am voting out firstname, sorry firstname lastname had to do it ;]",57,
1013,"you're voting for yourself, firstname?",57,
1121,i vote firstname c. since she voted off firstname first,57,
1266,why vote firstname? ,57,
1276,why are we voting firstname?,57,
1280,we should vote on firstname mcconnel,57,
1331,i vote for firstname lastname to be eliminated,57,
1346,i vote for firstname this time,57,
1422,i voted firstname out,57,
1488,firstname baron. everyone vote firstname baron.,57,
1715,i'll vote firstname,57,
1731,"firstname, who should we vote out then?",57,
1760,one more vote for firstname,57,
1795,"don't vote for firstname, make them suffer and wait.",57,
1813,i say vote firstname. that silence is deadly.,57,
1887,i'm voting for firstname ,57,
1943,ok now let's eliminate firstname then outnumber vote firstname,57,
1952,let's vote for firstname,57,
1957,firstname vote firstname,57,
2083,firstname vote for yourself. your fate has been decided,57,
2102,im voting firstname,57,
2153,i'll vote firstname too i guess!,57,
2167,i say vote for firstname,57,
2172,i voted firstname,57,
2198,i'll vote firstname.,57,
2201,firstname how could you vote for firstname?! taken in his prime... you monster i can never forgive you.,57,
29,has anyone not talked yet,58,
163,matt has a lot to say...,58,
259,i don't see him on here conversing ,58,
376,whoever doesnt respond? lol,58,
412,no one wants to talk huh,58,
758,he hasn't said much.,58,
766,who hasn't talked at all?,58,
773,since no one else is speaking,58,
789,if only we had a secret language,58,
858,he's spoken once,58,
889,so you talked first now?,58,
896,so first one to talk gets to die ,58,
911,lol - nobody wants to talk,58,
928,let's see who speaks up.,58,
1021,"well, is anybody not talking?",58,
1022,who talked the least?,58,
1143,"yeah, he didn't get to say much yesterday",58,
1613,you all will see soon (shrugs),58,
1718,im just talkative lol,58,
1852,awkward silence.,58,
145,i say lets get rid of firstname,59,
168,yeah lets kill off firstname!,59,
226,want to eliminate firstname?,59,
238,i agree to eliminate firstname,59,
332,"hello, we should eliminate firstname",59,
343,"i think we should hold off on firstname, and take someone else out",59,
355,kill firstname lastname b/c i gtg,59,
393,i think we should eliminate firstname,59,
483,i will eliminate whoever firstname chooses.,59,
495,eliminate firstname lastname.,59,
496,firstname let get rid of  firstname,59,
508,firstname lastname keeps suggesting and eliminating bystanders,59,
596,eliminate lastname,59,
599,killing firstname lastname lol,59,
634,eliminate mathew lastname,59,
640,let's take firstname lastname out of the game.,59,
680,i say we get rid of firstname,59,
730,lets get rid of firstname lastname,59,
771,hmmm let's get rid of firstname i think,59,
866,do you want to get rid of firstname lastname?,59,
924,lets get rid of firstname,59,
1100,lets eliminate firstname ,59,
1151,i agree. let's eliminate firstname.,59,
1179,firstname wanted firstname lastname gone.,59,
1185,firstname did want firstname gone though...,59,
1203,eliminating firstname would be obvious,59,
1321,it appears firstname lastname might be gone,59,
1340,why does everyone want to eliminate firstname lastname?,59,
1465,kick firstname lastname out,59,
1485,i say we eliminate firstname lastname,59,
1509,firstname disappeared firstname wanted firstname gone,59,
1524,firstname is gone,59,
1609,lets eliminate the first name,59,
1726,get rid of firstname,59,
1764,get rid of firstname?,59,
1892,firstname lastname needs to be gone,59,
1893,lets eliminate firstname,59,
1918,i'm going to vote we eliminate firstname lastname,59,
1969,let's get rid of firstname,59,
18,yeah perhaps vote her out,60,
268,who should we vote out?,60,
679,so who should we vote out?,60,
749,gonna vote yourself out?,60,
1057,want to be voted out?,60,
1734,vote me out,60,
1752,vote her out,60,
1884,vote me out then lol,60,
1904,or am i just saying vote me off,60,
1926,so do we want to vote off someone,60,
1933,let's not vote for them,60,
37,yeah the timer got to zero but we aren't moving to daytime. ,61,
139,"i keep having to scroll up to see how much time is lef, lol",61,
338,i swear this timer moves slower than normal,61,
390,30 secs,61,
469,i didn't notice the time was so low.,61,
559,lonely time,61,
638,i think the timer's a bit long for the night and day sessions. everyone have a good evening!,61,
695,why did the timer start over?,61,
697,40 seconds for me,61,
1076,"timer is fast, didn't know which firstname",61,
1335,because i showed up a few seconds late?,61,
1356,weren't you quick to the draw first round?,61,
1364,i loaded in late to the first round,61,
116,day,62,
159,just chat,62,
449,days are too long,62,
570,live to fight another day,62,
737,long day,62,
907,im first to talk to a second day,62,
1790,im a hoarse,62,
1822,im a bounty hunter/ raptor trainer by day,62,
1864,i like talking to myself!,62,
330,why?,63,
456,why??,63,
530,why not,63,
627,why not,63,
687,why?,63,
1464,why???,63,
1762,why?,63,
1874,why?,63,
2152,why?,63,
38,bystander here,64,
39,i am a bystander too.,64,
40,bystander too.,64,
46,you guys just killed a bystander,64,
47,i am a bystander. dont kill me,64,
48,bystander here also,64,
65,you guys are going to kill another bystander,64,
405,you're a bystander!,64,
719,it said he was bystander,64,
899,i'm a bystander,64,
916,"just so you know, i am a bystander.",64,
1412,i am also a bystander,64,
1419,im a bystander,64,
1428,"i'm a bystander...and a girl, i guess.",64,
1588,bystander cm,64,
1597,lol are we all bystanders?,64,
1607,hey! i'm  bystander like y'all.,64,
1732,so who's a bystander?,64,
1816,"this is such a stupid game. i'm a bystander, but kill me anyways, want to get on with my day",64,
1928,i am a bystander,64,
1941,"i'm a bystander, duh ",64,
1959,im a bystander but i gotcha,64,
2050,first to act against what was a bystander,64,
2092,lol or im a bystander with a gun,64,
33,somebody must have dropped or something,65,
207,'day fell off a truck.,65,
718,he was just a kid,65,
838,who was dropped during the night?,65,
1188,he must be. ,65,
1714,i assumed it was a male,65,
2134,johhny boy did it with a ax ,65,
2170,maybe it was a heart attack :p,65,
174,peace out,66,
428,bye yall,66,
580,that went well,66,
1289,so we can say bye to her?,66,
1348,ok bye,66,
1385,do you have anyone specific you wanted to off?,66,
1638,"maybe ""don't stop believin'"" will just kick in as you leave.",66,
1695,exit,66,
1777,glad he's gone. he gave me crabs,66,
2005,bye bye,66,
2006,bye,66,
2007,bye,66,
2043,bye,66,
2186,"too late now, i never got to say goodbye.",66,
32,rip,67,
45,rip me,67,
58,holy crap they killed our only lead,67,
190,rip me,67,
194,ok greg you;'re dead to me,67,
219,terry has died :(,67,
331,did the game break,67,
407,excuse me,67,
427,i be dead,67,
457,what did i do?,67,
558,sick,67,
688,poor guy,67,
805,no response,67,
884,rip matt ,67,
912,you broke the seal,67,
950,"hey, wtf... i didn't do nuttin.",67,
982,there i broke a tie,67,
1141,i can't read,67,
1233,sad,67,
1314,did anyone die?,67,
1451,oh my god i'm alive.,67,
1716,trying too hard,67,
1776,poor guy,67,
1902,impossible like this,67,
1971,press f to pay respects,67,
2024,ouch,67,
158,who do you all want eliminate?,68,
161,going to eliminate you..ah aha,68,
282,who do we eliminate ?,68,
340,why yall want to eliminate me?,68,
394,i don't know lol...we are supposed to eliminate somebody,68,
461,o well...eliminate me lol,68,
1020,who to eliminate?,68,
1482,yes eliminate me so i can get paid and get away from you losers,68,
1662,no idea who to eliminate.,68,
1708,it seems really weird that they'd eliminate the only other person with accusations,68,
2137,who do we eliminate,68,
195,who got voted off the island?,69,
973,lol you voted against me before ;],69,
1009,whoops forgot to vote last time,69,
1028,wow they didn't vote me out i'm shocked haha,69,
1324,i made my vote,69,
1357,yeah but you had voted,69,
1408,voted,69,
1438,"ok, now i'm glad you're voted out ",69,
1570,i'd almost say vote me out so i can complete this hit faster lol,69,
1571,my vote didn't go through last time.  ,69,
1986,this is going well on votes,69,
34,hard to tell. i have to keep scanning,70,
305,we all could see it,70,
382,i can't tell,70,
476,how do you know that,70,
689,no way to tell,70,
713,whoa this is 2019 you cant say that,70,
732,can we tell?,70,
761,slowly but surely . . .,70,
1111,only one way to find out!,70,
1319,i don't know how anyone's sure of anything,70,
1323,i am now sure on this onw,70,
1360,so....i'm not sure what's going on,70,
1897,not sure how to tell,70,
2124,i can't say no,70,
86,firstname lastname as in the failed politician? lol,71,
115,firstname was the first voter last time...,71,
187,"firstname lastname was pretty quick to cast her vote, seems suspicious to me",71,
293,idk firstname voted for firstname that's the only lead,71,
295,he could have voted for firstname to try to provide her cover,71,
316,firstname was also the last to vote firstname.,71,
413,"well, no it looks like firstname voted firstname",71,
593,what i realized now is that the people voting during the day are most likely bystanders meaning lastname ... and she voted a mafia out >_<,71,
623,"i see why firstname voted you, because you voted her first, lol",71,
753,he voted for firstname with no justification though,71,
782,firstname hasn't spoken and she hasn't been voting in the most recent rounds,71,
820,"since firstname voted me on first round, i will vote her now.",71,
822,i just noticed (looking back at round 1) that firstname lastname did end up voting.,71,
888,"so, does that mean vote firstname?",71,
959,firstname was trying to vote you out firstname,71,
1012,maybe firstname bc she didn't vote for firstname?,71,
1041,"well you didn't vote for firstname, i think that makes sense",71,
1115,has firstname lastname voted at all??,71,
1154,notice that firstname was eliminated last night?,71,
1240,"was firstname not here the whole chat of ""day 1""?  if so... maybe vote firstname?",71,
1383,"firstname seems vaguely leader like, so i voted for her",71,
1765,she voted you out with firstname,71,
1767,firstname makes me nervous she voted me ,71,
1771,firstname - did you not vote last round? any suspicions?,71,
2202,if you look up i never voted for firstname.,71,
8,you couldn't have chosen firstname in the last phase as a bystander,72,
60,"you guys are making a mistake killing me, i'm firstname lastname, the best bystander in the world",72,
315,i am a bystander though since i lead the firstname lastname.,72,
451,i'm not sure. i think firstname is a bystander,72,
569,"that's fine. seriously, gotta lastname. can kick me out but i am a bystander as you'll soon see :)",72,
900,firstname was a bystander,72,
1411,i'm a bystander too.  girl named firstname  lol,72,
1548,firstname playing dumb to stay alive?,72,
1579,i wonder how many of the voters for firstname knew he was a bystander,72,
1587,i'm not sure i'm a bystander named firstname lastname,72,
1589,bystander here too firstname lastname. it is very nice to meet you all,72,
1938,firstname are you a bystander?,72,
2188,"she threw him under the bus about firstname, who was also a bystander",72,
13,hey,73,
146,hey,73,
164,hey,73,
216,hey,73,
228,hey!,73,
365,hey,73,
487,hey,73,
500,hey,73,
505,hey,73,
520,hey,73,
545,hey,73,
594,hey,73,
794,hey,73,
984,hey group ,73,
1073,hey,73,
1092,hey,73,
1126,hey,73,
1135,hey,73,
1160,hey,73,
1325,hey now,73,
1382,hey!,73,
1566,hey!,73,
1611,hey,73,
1619,hey ,73,
1722,hey!,73,
1740,hey,73,
1742,hey how r u,73,
1745,hey,73,
1794,heys,73,
1870,hey,73,
1919,hey!,73,
1951,hey,73,
1956,hey,73,
2135,hey,73,
94,good for me,74,
98,i barra going to beat you up,74,
108,yeah that was bad,74,
120,well now i feel bad,74,
134,good for me,74,
258,depends on who you are,74,
446,real enough for you?,74,
512,he sounds like bad news,74,
556,okay tim is cool.,74,
624,i feel bad.,74,
676,lmao it's good,74,
750,well i think sam is alright,74,
826,i feel endangered,74,
1090,seem ok,74,
1107,"no, i'm a good guy.",74,
1161,how about you?,74,
1205,feels good.,74,
1306,only in our dreams,74,
1307,no silly you dream of me,74,
1518,sadness.  i have kids,74,
1555,you tell me. i've got your back. ,74,
1738,i'm down with that.,74,
1800,feels bad,74,
1842,i'm scared.,74,
1848,this does not look good for me.,74,
1980,"i'm a doctor, you're not looking good regardless",74,
2150,i hate him,74,
2189,i forgive him.,74,
5,i'm legitimately ignorant but ok,75,
14,"nice, the feigning ignorance angle",75,
42,right.,75,
49,"well, then... ",75,
375,right.,75,
425,well,75,
426,not majority,75,
603,idiots,75,
653,"oh, that's true",75,
654,TRUE,75,
715,oooo good point,75,
725,be honest,75,
785,TRUE,75,
874,exactly,75,
1215,boo,75,
1226,majority,75,
1477,no hard feelings,75,
1569,some are more dumb than others,75,
1614,lol exactly!,75,
1637,outlier,75,
1719,really,75,
1746,really,75,
1812,bahahahaha,75,
1833,"also,",75,
1851,sooooo,75,
1860,"of course i'm right,.",75,
1875,"no really, not",75,
1886,i have no rationale just speeding things up ,75,
1966,i know,75,
1991,obviously,75,
2113,or you are and trying to throw them off track,75,
7,"right, and he said he chose byrce",76,
80,you pick please,76,
84,why are you guys picking before we talk about it?,76,
89,who do you want to select?,76,
109,you pick this time,76,
301,well we have to make a decision.,76,
467,sorry abotu last turn i was trying to decide who to pick and rna out of time,76,
544,"ok, that's also a fair way to pick",76,
641,who do you want to get?,76,
685,i don't think it matters who we pick for the first night really since we don't know anything,76,
823,vengeance pick...nice! lol,76,
844,"but if it a tie, the machine picks!",76,
925,well it looks like the majority picked poor k. lo,76,
972,"pick what you guts says, or follow majority its upto you man",76,
987,how to chose??,76,
988,haha that's how we're choosing,76,
992,how else could you know who to pick,76,
1078,any ideas on who to elimate?,76,
1258,"yup, have to pick someone, lol",76,
1300,i asked if we got him cause i thought we won,76,
1337,right?! how can we pick?,76,
1359,i don't remember even selecting anybody,76,
1424,ah shoot i already choose,76,
1431,"okay, let's go with him.",76,
1754,im gonna make you an offer you cant refuse,76,
1878,not sure who to choose,76,
1960,wrong choice guys lol but good luck,76,
2011,all right you pick,76,
2077,you pick,76,
15,:),77,
208,:d,77,
267,<3,77,
302,^,77,
616,1,77,
779,aw,77,
883,<3,77,
1195,;),77,
1381,d:,77,
1627,/,77,
1656,🤔,77,
1785,;),77,
1827,!,77,
1843,!,77,
2004,:),77,
2192,x),77,
2195,xd,77,
528,morning!,78,
846,morning,78,
1106,day time,78,
1138,morning,78,
1176,morning,78,
1366,morning at last.,78,
1559,"morning guys, lol",78,
1629,next day,78,
263,i can second that,79,
345,i agree i will so luis,79,
529,lets just take it from the top,79,
620,good think,79,
675,"yeah, that would be nice",79,
786,would be easier if we could see hats,79,
828,you don't,79,
878,any ideas this round?,79,
1061,good luck,79,
1072,well nice idea,79,
1297,"haha yeah i was thinking that, but they might not notice",79,
1455,you should,79,
1661,anyone have suggestions?,79,
1946,yeah i think that is a good plan,79,
1999,good idea,79,
2057,lol everyone had the same idea ,79,
296,if shes the other maf,80,
404,maf majority,80,
434,enjoy maf,80,
978,imma psychic,80,
1290,what makes you think she knew that?,80,
1309,take it as you will but i'm quite certain about her now,80,
1763,how many women mafioso do you know?,80,
1907,she'd be invested if she was,80,
148,"so, how's all you'se doin'.",81,
221,going very well,81,
229,how is everyone?,81,
378,doing good so far.,81,
548,what's up everyone,81,
549,how is everyone?,81,
552,nothing much here.. got a good nights rest,81,
562,did everyone have a good monday?,81,
563,so far so good,81,
567,been a good monday here surprisingly.,81,
585,forgot my coffee and it's been downhill since,81,
588,it's been a long monday here lol,81,
595,its been a slow monday,81,
770,we're doing good,81,
809,did everybody sleep well last night?,81,
936,"doing great, how is everyone?",81,
956,how are you?,81,
1000,how is everyone today?,81,
1210,are we all here?,81,
1404,how's it going,81,
1462,where is everyone else?,81,
1541,what's up?,81,
24,firstname is too wise,82,
53,"okay, so we're going to go with firstname?",82,
91,let's do firstname or firstname ,82,
93,firstname then,82,
141,i'm going with firstname on this one,82,
181,go for firstname,82,
182,or firstname,82,
192,i say firstname is next,82,
255,"yeah, i think firstname seems to be the popular choice.",82,
356,ok how about firstname ,82,
555,what about firstname?,82,
